number,입주형태,입주기간,코로나영향,환경개선여부,유치시설1,유치시설2,유치시설3,정화시설,위치규모,비용,환경,인력,행정,시설,교류,인지여부,입주후매출,입주후고용,입주후절감
84 ,1 ,1 ,3 ,3 ,5 ,1 ,2 ,3 ,2 ,3 ,3 ,3 ,2 ,5 ,3 ,2 ,3 ,3 ,3 
85 ,1 ,1 ,2 ,4 ,2 ,1 ,5 ,3 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,2 ,3 ,3 ,3 
86 ,1 ,1 ,2 ,3 ,5 ,4 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,2 
87 ,1 ,1 ,3 ,3 ,5 ,,,3 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,1 ,3 ,3 ,3 
88 ,1 ,1 ,3 ,4 ,5 ,3 ,1 ,2 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,3 
90 ,1 ,1 ,2 ,2 ,4 ,5 ,1 ,3 ,2 ,3 ,2 ,1 ,2 ,3 ,3 ,2 ,2 ,1 ,2 
91 ,1 ,3 ,3 ,5 ,1 ,5 ,4 ,5 ,5 ,2 ,2 ,3 ,3 ,3 ,2 ,1 ,3 ,2 ,3 
92 ,1 ,1 ,2 ,2 ,5 ,2 ,4 ,2 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,3 
93 ,1 ,1 ,2 ,3 ,1 ,2 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 
94 ,1 ,1 ,1 ,4 ,1 ,2 ,5 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,3 ,2 
97 ,1 ,1 ,1 ,3 ,5 ,4 ,1 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,3 ,3 
98 ,1 ,1 ,2 ,3 ,5 ,1 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,3 ,3 
100 ,1 ,1 ,4 ,2 ,1 ,2 ,3 ,2 ,5 ,2 ,3 ,3 ,3 ,5 ,1 ,2 ,2 ,1 ,3 
103 ,1 ,1 ,5 ,3 ,,,,2 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,1 ,2 ,2 ,2 
104 ,1 ,1 ,2 ,3 ,5 ,1 ,,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
105 ,2 ,1 ,2 ,4 ,5 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,3 ,2 ,3 
106 ,1 ,1 ,3 ,4 ,1 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
107 ,2 ,1 ,1 ,3 ,5 ,2 ,1 ,2 ,5 ,3 ,2 ,3 ,2 ,2 ,3 ,1 ,3 ,3 ,3 
108 ,2 ,2 ,2 ,4 ,4 ,5 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 
111 ,1 ,1 ,2 ,3 ,5 ,,,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 
112 ,1 ,1 ,3 ,3 ,5 ,2 ,4 ,2 ,5 ,3 ,3 ,5 ,3 ,2 ,2 ,2 ,2 ,2 ,2 
113 ,1 ,1 ,4 ,4 ,5 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
114 ,1 ,1 ,1 ,3 ,5 ,4 ,1 ,3 ,5 ,3 ,2 ,5 ,3 ,2 ,3 ,2 ,2 ,5 ,3 
115 ,1 ,1 ,2 ,3 ,5 ,,,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,2 ,3 ,3 
116 ,1 ,1 ,3 ,3 ,5 ,2 ,,3 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,2 
117 ,1 ,2 ,1 ,3 ,1 ,2 ,5 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,1 ,3 ,3 ,2 
118 ,1 ,2 ,3 ,4 ,3 ,5 ,1 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
119 ,1 ,1 ,3 ,3 ,1 ,2 ,,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 
120 ,1 ,1 ,3 ,4 ,5 ,2 ,1 ,3 ,5 ,5 ,3 ,3 ,3 ,5 ,2 ,2 ,2 ,1 ,3 
121 ,1 ,1 ,1 ,3 ,2 ,3 ,5 ,1 ,5 ,1 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,2 ,2 
122 ,1 ,1 ,3 ,3 ,1 ,3 ,5 ,3 ,2 ,5 ,3 ,5 ,5 ,5 ,2 ,2 ,3 ,3 ,2 
123 ,1 ,1 ,3 ,4 ,5 ,4 ,1 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,2 ,3 ,3 ,2 
124 ,1 ,1 ,2 ,3 ,1 ,4 ,5 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 
125 ,1 ,1 ,2 ,5 ,3 ,5 ,3 ,5 ,5 ,3 ,2 ,2 ,2 ,2 ,3 ,1 ,5 ,5 ,3 
126 ,1 ,1 ,1 ,3 ,,,,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,1 ,2 
127 ,1 ,1 ,2 ,4 ,1 ,5 ,4 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,3 
128 ,1 ,1 ,4 ,2 ,5 ,1 ,2 ,5 ,2 ,2 ,3 ,3 ,2 ,2 ,3 ,1 ,3 ,3 ,3 
129 ,1 ,3 ,3 ,3 ,4 ,3 ,5 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,2 
130 ,2 ,3 ,3 ,3 ,5 ,4 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
131 ,1 ,3 ,3 ,3 ,4 ,3 ,5 ,2 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,2 
132 ,1 ,3 ,3 ,3 ,2 ,,,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,3 ,2 ,3 
133 ,2 ,3 ,2 ,3 ,1 ,2 ,5 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
134 ,1 ,2 ,1 ,3 ,5 ,2 ,1 ,2 ,5 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,3 ,3 
135 ,1 ,2 ,2 ,5 ,1 ,4 ,5 ,5 ,5 ,5 ,5 ,3 ,5 ,5 ,3 ,1 ,5 ,3 ,5 
136 ,1 ,3 ,2 ,2 ,1 ,3 ,2 ,1 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 
137 ,2 ,2 ,2 ,3 ,1 ,5 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,2 
138 ,2 ,2 ,2 ,3 ,2 ,1 ,5 ,5 ,5 ,5 ,2 ,3 ,3 ,2 ,2 ,1 ,2 ,3 ,5 
139 ,2 ,1 ,5 ,4 ,5 ,4 ,1 ,3 ,2 ,5 ,2 ,1 ,2 ,2 ,2 ,2 ,5 ,5 ,2 
140 ,2 ,2 ,3 ,4 ,1 ,5 ,4 ,5 ,5 ,5 ,2 ,5 ,2 ,5 ,5 ,2 ,2 ,2 ,2 
141 ,2 ,2 ,2 ,4 ,5 ,4 ,1 ,2 ,5 ,5 ,3 ,2 ,2 ,5 ,2 ,2 ,3 ,2 ,3 
142 ,2 ,2 ,1 ,3 ,5 ,1 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,5 ,3 ,1 ,3 ,3 ,3 
143 ,1 ,3 ,5 ,5 ,3 ,2 ,5 ,2 ,5 ,3 ,2 ,5 ,2 ,1 ,2 ,2 ,2 ,2 ,2 
144 ,2 ,2 ,4 ,5 ,1 ,4 ,5 ,3 ,2 ,2 ,2 ,5 ,5 ,5 ,2 ,1 ,3 ,2 ,2 
145 ,2 ,2 ,1 ,3 ,1 ,4 ,5 ,2 ,5 ,5 ,3 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,2 
146 ,1 ,3 ,2 ,3 ,1 ,5 ,,3 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,3 ,3 
147 ,2 ,2 ,2 ,4 ,1 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,2 ,3 ,3 
148 ,2 ,2 ,1 ,5 ,1 ,5 ,2 ,5 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,1 ,3 ,5 ,3 
149 ,1 ,2 ,2 ,3 ,2 ,5 ,,3 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,1 ,1 ,1 
150 ,2 ,2 ,2 ,2 ,5 ,2 ,1 ,3 ,5 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,1 
