700M,,,,,1KM,,,,,2KM,,,,
==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,
검색어 :  은행 개수 :  7,,,  7,  7,검색어 :  은행 개수 :  19,,, 19, 19,검색어 :  은행 개수 :  62,,, 62, 62
검색어 :  은행 개수 :  33,,, 33, 33,검색어 :  은행 개수 :  54,,, 54, 54,검색어 :  은행 개수 :  127,,,127,127
검색어 :  은행 개수 :  3,,,  3,  3,검색어 :  은행 개수 :  8,,,  8,  8,검색어 :  은행 개수 :  56,,, 56, 56
검색어 :  은행 개수 :  0,,,  0,  0,검색어 :  은행 개수 :  3,,,  3,  3,검색어 :  은행 개수 :  21,,, 21, 21
검색어 :  은행 개수 :  10,,, 10, 10,검색어 :  은행 개수 :  42,,, 42, 42,검색어 :  은행 개수 :  143,,,143,143
==========[ 영화관 ] ==========,,,===,===,==========[ 영화관 ] ==========,,,===,===,==========[ 영화관 ] ==========,,,===,===
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  2,,,  2,  2
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  1,,,  1,  1,검색어 :  영화관 개수 :  1,,,  1,  1,검색어 :  영화관 개수 :  2,,,  2,  2
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  1,,,  1,  1
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0,검색어 :  영화관 개수 :  0,,,  0,  0
==========[ 문구점 ] ==========,,,===,===,==========[ 문구점 ] ==========,,,===,===,==========[ 문구점 ] ==========,,,===,===
검색어 :  문구점 개수 :  0,,,  0,  0,검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  28,,, 28, 28
검색어 :  문구점 개수 :  4,,,  4,  4,검색어 :  문구점 개수 :  10,,, 10, 10,검색어 :  문구점 개수 :  20,,, 20, 20
검색어 :  문구점 개수 :  2,,,  2,  2,검색어 :  문구점 개수 :  2,,,  2,  2,검색어 :  문구점 개수 :  6,,,  6,  6
검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  3,,,  3,  3,검색어 :  문구점 개수 :  16,,, 16, 16
검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  4,,,  4,  4,검색어 :  문구점 개수 :  16,,, 16, 16
검색어 :  문구점 개수 :  0,,,  0,  0,검색어 :  문구점 개수 :  5,,,  5,  5,검색어 :  문구점 개수 :  19,,, 19, 19
검색어 :  문구점 개수 :  11,,, 11, 11,검색어 :  문구점 개수 :  16,,, 16, 16,검색어 :  문구점 개수 :  33,,, 33, 33
검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  3,,,  3,  3,검색어 :  문구점 개수 :  16,,, 16, 16
검색어 :  문구점 개수 :  0,,,  0,  0,검색어 :  문구점 개수 :  1,,,  1,  1,검색어 :  문구점 개수 :  7,,,  7,  7
검색어 :  문구점 개수 :  2,,,  2,  2,검색어 :  문구점 개수 :  12,,, 12, 12,검색어 :  문구점 개수 :  33,,, 33, 33
==========[ 세탁소 ] ==========,,,===,===,==========[ 세탁소 ] ==========,,,===,===,==========[ 세탁소 ] ==========,,,===,===
검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  48,,, 48, 48
검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  13,,, 13, 13
검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  1,,,  1,  1
검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  0,,,  0,  0,검색어 :  세탁소 개수 :  8,,,  8,  8
