(주)헬스케어코리아,서구 ,(주)헬스케어코리아,"설립일                            2020년 08월 10일                                (업력 2년)대표자명송지윤업종기타 직물제품 제조업재무정보매출액 972.5만원▲(2020년 기준)전체기업주소인천 서구 백범로 611, 516,517호",973만원,중소기업
강래테크,서구 ,강래테크에 대한 검색결과 없음,강래테크에 대한 검색결과 없음,강래테크에 대한 검색결과 없음,강래테크에 대한 검색결과 없음
다원 아이엠티,인천 ,다원 아이엠티에 대한 검색결과 없음,다원 아이엠티에 대한 검색결과 없음,다원 아이엠티에 대한 검색결과 없음,다원 아이엠티에 대한 검색결과 없음
대상시스템,인천 ,대상건설시스템(주),"대표자명박유찬업종건물 및 토목 엔지니어링 서비스업재무정보매출액 20억원▲영업이익 7500만원▲(2020년 기준)전체평균연봉3500만원▲                                                            (2020년 기준)전체기업주소강원 원주시 영랑길 89-10, 4층","23억 5,427만원",51명
대성산업,인천 ,대성산업(주),설립일                            2010년 06월 30일                                (업력 12년)대표자명김영대/이은우업종액체연료 및 관련제품 도매업기업주소서울 구로구 경인로 662,한국물류용역(주),대성C&S(주)
대성포장기계,인천 ,(주)대성자동포장기계,"설립일                            1987년 01월 21일                                (업력 35년)대표자명김영민업종용기 세척, 포장 및 충전기 제조업재무정보매출액 45억원▲(2020년 기준)전체평균연봉4500만원▲                                                            (2020년 기준)전체기업주소인천 계양구 봉오대로894번길 48-19","45억 8,500만원",27명
대신전자,인천 ,대신전자(주),설립일                            2009년 12월 30일                                (업력 13년)대표자명박정일업종전자감지장치 제조업재무정보매출액 5억원▲(2020년 기준)전체기업주소광주 북구 추암로 201,"5억 2,199만원",16명
동일고무,인천 ,동일고무벨트(주),설립일                            2012년 10월 05일                                (업력 10년)대표자명이윤환업종산업용 그 외 비경화 고무제품 제조업평균연봉5500만원▲                                                        전체기업주소부산 금정구 공단동로55번길 28,560명,중견기업
디마크테크,인천 ,디마크테크에 대한 검색결과 없음,디마크테크에 대한 검색결과 없음,디마크테크에 대한 검색결과 없음,디마크테크에 대한 검색결과 없음
디아이컴퍼니,인천 ,(주)디아이컴퍼니,"설립일                            2015년 02월 03일                                (업력 7년)대표자명박경혜업종매니저업재무정보매출액 12억원▲영업이익 5억원▲(2017년 기준)전체평균연봉8000만원▲                                                            (2017년 기준)전체기업주소인천 연수구 컨벤시아대로 60, 201동 1901호","12억 4,320만원",중소기업
디케이원주식회사,인천 ,디케이원주식회사에 대한 검색결과 없음,디케이원주식회사에 대한 검색결과 없음,디케이원주식회사에 대한 검색결과 없음,디케이원주식회사에 대한 검색결과 없음
라온,인천 ,(주)라온,"설립일                            2017년 03월 30일                                (업력 5년)대표자명신승우업종폴리스티렌 발포 성형제품 제조업재무정보매출액 5억원▲영업이익 2500만원▲(2021년 기준)전체기업주소충북 청주시 청원구 오창읍 두릉유리로 1323-25, 1동","5억 6,770만원",2명
라틴월드,인천 ,라틴월드에 대한 검색결과 없음,라틴월드에 대한 검색결과 없음,라틴월드에 대한 검색결과 없음,라틴월드에 대한 검색결과 없음
마더락,인천 ,마더락에 대한 검색결과 없음,마더락에 대한 검색결과 없음,마더락에 대한 검색결과 없음,마더락에 대한 검색결과 없음
미래EDM,인천 ,미래EDM에 대한 검색결과 없음,미래EDM에 대한 검색결과 없음,미래EDM에 대한 검색결과 없음,미래EDM에 대한 검색결과 없음
봉명인터내셔널 주안,인천 ,봉명인터내셔널 주안에 대한 검색결과 없음,봉명인터내셔널 주안에 대한 검색결과 없음,봉명인터내셔널 주안에 대한 검색결과 없음,봉명인터내셔널 주안에 대한 검색결과 없음
비엔씨테크,인천 ,(주)비엔씨테크,"설립일                            2019년 03월 14일                                (업력 3년)대표자명조현일업종기타 무선 통신장비 제조업재무정보매출액 10억원▲(2021년 기준)전체기업주소서울 금천구 가산디지털2로 166, 2층 206호",10억 16만원,5명
삼화T.S,인천 ,삼화T.S에 대한 검색결과 없음,삼화T.S에 대한 검색결과 없음,삼화T.S에 대한 검색결과 없음,삼화T.S에 대한 검색결과 없음
스피드전기자전거1,인천 ,스피드전기자전거1에 대한 검색결과 없음,스피드전기자전거1에 대한 검색결과 없음,스피드전기자전거1에 대한 검색결과 없음,스피드전기자전거1에 대한 검색결과 없음
스피드전기자전거2,인천 ,스피드전기자전거2에 대한 검색결과 없음,스피드전기자전거2에 대한 검색결과 없음,스피드전기자전거2에 대한 검색결과 없음,스피드전기자전거2에 대한 검색결과 없음
에스디에이치,인천 ,에스디에이치(주),설립일                            2011년 10월 14일                                (업력 11년)대표자명서호진업종주형 및 금형 제조업재무정보매출액 70억원▲영업이익 1억원▲(2020년 기준)전체평균연봉6500만원▲                                                            (2020년 기준)전체기업주소충남 서산시 음암면 화락동3길 30,"72억 9,997만원",6명
에스엘(sl)테크,인천 ,(주)에스엘테크,"설립일                            2007년 10월 16일                                (업력 15년)대표자명서임교업종배전반 및 전기 자동제어반 제조업재무정보매출액 80억원▲영업이익 3억원▲(2020년 기준)전체평균연봉3500만원▲                                                            (2020년 기준)전체기업주소경북 구미시 옥계2공단로 179-8, 에스비테크이-1동","80억 4,571만원",75명
에이티와이테크나인,인천 ,에이티와이테크나인에 대한 검색결과 없음,에이티와이테크나인에 대한 검색결과 없음,에이티와이테크나인에 대한 검색결과 없음,에이티와이테크나인에 대한 검색결과 없음
