basDt,bizYear,crno,enpBzopPft,enpCptlAmt,enpCrtmNpf,enpSaleAmt,enpTastAmt,enpTcptAmt,enpTdbtAmt,fnclDcd,fnclDcdNm,fnclDebtRto,iclsPalClcAmt
20201231,2020,1201110437146,-61010,50000,-62074,987048,602402,439933,162469,120,요약별도재무정보,36.9303962194,-62074
20171231,2017,1201110827628,13680,100000,7053,766844,275964,55352,220612,120,요약별도재무정보,398.5619309148,7053
20181231,2018,1201110827628,25090,100000,12026,1064443,549303,67379,481924,120,요약별도재무정보,715.2436218999,12262
20191231,2019,1201110827628,94198,100000,79646,508583,564216,147025,417191,120,요약별도재무정보,283.755143683,80200
20181231,2018,1201110918154,-46831,20000,-48121,438370,534029,-28121,562150,120,요약별도재무정보,-1999.0398634472,-48121
20191231,2019,1201110918154,-134716,20000,-137197,148350,381351,-165317,546668,120,요약별도재무정보,-330.678635591,-137197
20201231,2020,1201110918154,-2570,20000,-4547,315460,465665,-169863,635528,120,요약별도재무정보,-374.1415140436,-4547
20161231,2016,1201110127549,233023,250000,144061,17523207,8284157,3052350,5231807,120,요약별도재무정보,171.4025914459,163965
20171231,2017,1201110127549,311807,250000,157177,18995588,9028207,3209527,5818680,120,요약별도재무정보,181.2940037581,187899
20181231,2018,1201110127549,206024,250000,116574,17163963,8024210,3337651,4686559,120,요약별도재무정보,140.4148905922,129678
20191231,2019,1201110127549,154292,250000,61422,16170576,8215613,2899073,5316540,120,요약별도재무정보,183.3875863077,67678
20201231,2020,1201110127549,-790,249,-867,15473,8317,2032,6285,110,요약연결재무제표,309.3,-865
20171231,2017,1101111433468,658008,600000,517008,11670554,6032747,3334477,2698270,110,요약연결재무정보,80.92,615538
20171231,2017,1101111433468,658008,600000,517008,11670554,6032747,3334477,2698270,110,요약연결재무정보,80.92,615538
20181231,2018,1101111433468,399865,600000,215457,9572405,6159505,3549934,2609571,110,요약연결재무정보,73.51,308685
20181231,2018,1101111433468,399865,600000,215457,9572405,6159505,3549934,2609571,110,요약연결재무정보,73.51,308685
20210602,2019,1101111433468,-205907,600000,-455308,13397620,10639250,2527553,8111698,110,요약연결재무정보,320.93,-450918
20220424,2019,1101111433468,-205907,600000,-455308,13397620,10639250,2527553,8111698,110,요약연결재무정보,320.93,-450918
20210602,2020,1101111433468,1332570,600000,385564,15838527,7985440,2913116,5072323,110,요약연결재무정보,174.12,537429
20220424,2020,1101111433468,1332570,600000,385564,15838527,7985440,2913116,5072323,110,요약연결재무정보,174.12,537429
20161231,2016,1341110039847,-284,2700,-1274,15040,32624,9889,22735,110,요약연결재무제표,229.9,-1101
20171231,2017,1341110039847,553550,2700000,-2833031,9332027,18951391,5080507,13870884,120,요약별도재무정보,273.0216492172,5288
20181231,2018,1341110039847,1803847,2700000,1005605,10643412,19119370,6097452,13021918,120,요약별도재무정보,213.5632720027,1281930
20191231,2019,1341110039847,1714860,2700000,1022069,10207479,20272631,7384016,12888615,120,요약별도재무정보,174.5474955633,1361281
20201231,2020,1341110039847,2009626,2700000,1698955,13420691,22251228,8930691,13320537,120,요약별도재무정보,149.1546062897,1693430
20161231,2016,1341110207436,-40236,50000,-40907,1537013,1007836,916346,91490,120,요약별도재무정보,9.9842199343,-40907
20171231,2017,1341110207436,42567,50000,25646,1010785,984067,941992,42075,120,요약별도재무정보,4.4665984424,28093
20191231,2019,1341110207436,7016,50000,5190,1223999,1102248,967502,134746,120,요약별도재무정보,13.927206352,7219
20161231,2016,1201110968456,71,89,71,1028,282,89,193,110,요약연결재무제표,216.85,71
20171231,2017,1201110968456,57,8,101,1455,596,8,588,110,요약연결재무제표,7350,101
20181231,2018,1201110968456,-11028,100000,-11446,15800,837121,98554,738567,120,요약별도재무정보,749.4033727702,-11446
20191231,2019,1201110968456,-137,112,13,1178,772,231,541,110,요약연결재무제표,234.2,13
20201231,2020,1201110968456,-187,112,16,1155,1005,247,758,110,요약연결재무제표,306.88,16
20191231,2019,1345150000694,1227,10000,1141,32000,995347,11141,984206,120,요약별도재무정보,8834.0902971007,1255
20201231,2020,1345150000694,187360,10000,137772,837000,2107276,148913,1958363,120,요약별도재무정보,1315.1054642643,188303
20191231,2019,1101117026803,219,5,207,849,373,212,161,110,요약연결재무제표,75.94,223
20201231,2020,1101117026803,306,150,277,1758,971,634,337,110,요약연결재무제표,53.15,295
20161231,2016,1311110389295,75476,50000,53507,542219,378380,216082,162298,120,요약별도재무정보,75.1094491905,60374
20171231,2017,1311110389295,29368,50000,26613,490484,370543,242695,127848,120,요약별도재무정보,52.6784647396,30217
20181231,2018,1311110389295,-38662,50000,-38728,243109,411308,203967,207341,120,요약별도재무정보,101.654189158,-38728
20191231,2019,1311110389295,-29285,50000,-30474,404462,519460,173493,345967,120,요약별도재무정보,199.4126564184,-30474
20161231,2016,1345110067832,130239,199999,130285,2933936,1821209,510744,1310465,120,요약별도재무정보,256.5796171859,130285
20171231,2017,1345110067832,44731,200000,7456,1674923,1763102,518201,1244901,120,요약별도재무정보,240.235159716,7492
20181231,2018,1345110067832,106432,200000,68206,5540575,1862318,586406,1275912,120,요약별도재무정보,217.5816754944,68242
20191231,2019,1345110067832,57298,200000,30775,2498082,1722196,617181,1105015,120,요약별도재무정보,179.0422906732,30775
20201231,2020,1345110067832,-329784,200000,-370474,3260440,2963855,246707,2717148,120,요약별도재무정보,1101.366398197,-370474
20161231,2016,1311110438737,-8649,500,-8648,0,12352,-8148,20500,120,요약별도재무정보,-251.5954835542,-8648
20171231,2017,1311110438737,241132,500,212047,729421,248449,203899,44550,120,요약별도재무정보,21.8490527172,241238
20181231,2018,1311110438737,201844,500,177863,954427,1097690,381762,715928,120,요약별도재무정보,187.5325464556,201985
20201231,2020,1311110438737,608788,500,481892,1621923,2080229,815783,1264446,120,요약별도재무정보,154.9978364344,580834
20171231,2017,1311110489673,-1711,5000,-2024,64211,212746,2976,209770,120,요약별도재무정보,7048.7231182795,-2024
20181231,2018,1311110489673,-44089,5000,-50993,163928,202122,-48017,250139,120,요약별도재무정보,-520.9384176437,-50993
20191231,2019,1311110489673,-36188,5000,-39011,161775,222039,-87028,309067,120,요약별도재무정보,-355.135128924,-39011
20161231,2016,1101117217709,57,91,63,679,121,91,30,110,요약연결재무제표,32.97,63
20171231,2017,1101117217709,53,29,53,659,148,29,119,110,요약연결재무제표,410.34,53
20181231,2018,1101117217709,86,337,89,1010,445,337,108,110,요약연결재무제표,32.05,89
20201231,2020,1101117217709,21382,70000,13441,863916,497561,96650,400911,120,요약별도재무정보,414.8070356958,15061
20181231,2018,1101115395656,13037,70000,22899,633313,413766,250229,163537,120,요약별도재무정보,65.3549348796,23140
20191231,2019,1101115395656,7592,70000,20432,568702,330395,270660,59735,120,요약별도재무정보,22.0701248799,20647
20201231,2020,1101115395656,22337,70000,24481,669085,478451,295142,183309,120,요약별도재무정보,62.1087476536,24730
20161231,2016,1311110330967,-34924,500000,5729,3139,1208912,1204798,4114,120,요약별도재무정보,.3414680303,5729
20171231,2017,1311110330967,-14687,500000,10837,226177,1221435,1215635,5800,120,요약별도재무정보,.4771168977,10837
20181231,2018,1311110330967,-38343,500000,-38314,106690,1194990,1176585,18405,120,요약별도재무정보,1.5642728744,-38314
20191231,2019,1311110330967,-84056,500000,-64506,114702,1132950,1112078,20872,120,요약별도재무정보,1.8768467679,-64506
20201231,2020,1311110330967,-99571,500000,-86117,74436,1062193,1025961,36232,120,요약별도재무정보,3.5315182545,-86117
